term	arousal
high road	0.000
hand on	0.000
street cred	0.000
going away	0.000
tax avoidance	0.000
oral history	0.000
comment on	0.000
hard hat	0.000
fun size	0.000
bit off	0.000
beyond belief	0.000
take part	0.000
looking up	0.000
directly proportional	0.000
make up	0.000
air out	0.000
close contact	0.000
keep at	0.000
garbage disposal	0.000
well documented	0.000
couple with	0.000
conversion rate	0.000
in custody	0.000
go about	0.000
final cut	0.000
early spring	0.000
young money	0.000
pot roast	0.000
memorial service	0.000
little dog	0.000
lose control	0.000
bowling ball	0.000
love interest	0.000
fall through	0.000
tough thing	0.000
pull down	0.000
stock market	0.000
hospital room	0.000
bug spray	0.000
round up	0.000
white chocolate	0.000
cave in	0.000
golden rule	0.000
buy up	0.000
god forbid	0.000
change about	0.000
taxi driver	0.000
charge for	0.000
great thing	0.000
find for	0.000
best efforts	0.000
see to	0.000
shop around	0.000
ring around	0.000
business hours	0.000
supply chain	0.000
fresh air	0.000
pull back	0.000
rent control	0.000
death wish	-0.008
wash out	-0.010
hiking boots	-0.010
between jobs	-0.010
unheard of	-0.010
in vitro	-0.010
turn signal	-0.010
expiry date	-0.010
training program	-0.010
duffel bag	-0.010
last call	-0.012
processing time	-0.012
vote in	-0.012
in circles	-0.012
come as	-0.012
true feelings	-0.012
put through	-0.012
ivory tower	-0.012
black students	-0.012
half mast	-0.012
belly button	-0.012
clean off	-0.012
work time	-0.012
blood sugar	-0.012
on deck	-0.012
belt buckle	-0.012
tax base	-0.014
sugar daddy	-0.014
first base	-0.014
at school	-0.014
fill up	-0.014
short period	-0.014
foot locker	-0.014
trade off	-0.014
blow up	-0.014
brief moment	-0.014
drink to	-0.014
honor roll	-0.014
so long	-0.014
ring for	-0.014
cheat on	-0.014
good news	-0.014
bleed out	-0.014
young adult	-0.014
time limit	-0.014
go at	-0.014
head up	-0.014
get help	-0.014
bring over	-0.014
coffee bean	-0.014
black sheep	-0.014
double as	-0.014
exchange rate	-0.014
charge nurse	-0.014
same difference	-0.014
solar panel	-0.014
poor health	-0.014
front man	-0.014
hip to	-0.014
blood type	-0.014
convenience store	-0.014
end product	-0.014
start back	-0.014
native language	-0.014
hold up	-0.014
stage left	-0.014
big one	-0.014
mini van	-0.014
hear of	-0.014
mountain dew	-0.014
day out	-0.014
confide in	-0.014
classic example	-0.014
land on	-0.014
take out	-0.014
wisdom teeth	-0.014
go round	-0.014
milk carton	-0.014
everybody out	-0.014
what if	-0.014
data collection	-0.014
every last	-0.014
of necessity	-0.014
art teacher	-0.014
eaten up	-0.014
fend off	-0.014
rhetorical question	-0.014
trade at	-0.014
look after	-0.016
reckon with	-0.016
right wing	-0.016
age gap	-0.016
walk free	-0.016
gas tank	-0.016
wrong person	-0.016
carry out	-0.016
whole idea	-0.016
down syndrome	-0.016
look down	-0.016
free enterprise	-0.016
tory party	-0.016
get out	-0.016
non refundable	-0.016
self respecting	-0.016
third party	-0.016
pretty boy	-0.016
weather station	-0.016
nail it	-0.016
writ large	-0.016
stretched out	-0.016
bronze age	-0.016
and how	-0.016
video store	-0.016
hearing aid	-0.016
all for	-0.016
tax deduction	-0.016
urban area	-0.016
dental school	-0.016
red scare	-0.016
camera person	-0.016
snow day	-0.016
farm team	-0.016
move over	-0.016
second opinion	-0.016
birth control	-0.016
owing to	-0.016
thank god	-0.016
liquor store	-0.016
tall order	-0.016
forbidden fruit	-0.016
harvest moon	-0.016
maintenance man	-0.016
second act	-0.016
sad news	-0.016
go missing	-0.016
split screen	-0.016
superior to	-0.016
go there	-0.016
pull up	-0.016
music video	-0.016
fire pit	-0.016
flesh wound	-0.016
grapple with	-0.016
thought out	-0.016
milky way	-0.016
travel agent	-0.016
death toll	-0.016
account for	-0.016
on trial	-0.016
indulge in	-0.016
went well	-0.016
play about	-0.016
corpus christi	-0.016
false witness	-0.016
attend to	-0.016
a roll	-0.016
helping hand	-0.016
late spring	-0.016
minister to	-0.016
rolling stone	-0.016
chop off	-0.016
count in	-0.016
photo shop	-0.016
do better	-0.016
hard boiled	-0.016
look bad	-0.016
bring to	-0.016
do time	-0.016
rule on	-0.016
debit card	-0.016
bathing suit	-0.016
key part	-0.016
snow storm	-0.016
paper route	-0.016
family values	-0.016
every second	-0.016
index fund	-0.016
turn up	-0.016
bay area	-0.016
straight lines	-0.016
vending machine	-0.016
even more	-0.016
gas line	-0.016
scrambled eggs	-0.016
sound check	-0.016
frame in	-0.016
the goat	-0.016
mix up	-0.016
lunch hour	-0.016
spider web	-0.016
design work	-0.016
long period	-0.016
taking place	-0.016
drop dead	-0.016
birth rate	-0.016
solid state	-0.016
green line	-0.016
hit home	-0.016
hedge against	-0.016
love life	-0.016
catholic church	-0.016
throw into	-0.016
real deal	-0.016
cross stitch	-0.016
red ink	-0.016
god knows	-0.016
shopping mall	-0.016
roll on	-0.016
on track	-0.016
in vogue	-0.016
license plate	-0.016
new money	-0.016
mother earth	-0.016
modern era	-0.016
falling out	-0.016
hair braided	-0.016
at best	-0.016
except for	-0.016
dill pickle	-0.016
half brother	-0.016
stave off	-0.016
passenger seat	-0.016
make believe	-0.016
solar energy	-0.016
do business	-0.016
talking point	-0.016
style on	-0.016
yard line	-0.016
hard up	-0.016
trailer park	-0.016
do in	-0.016
former student	-0.016
bottomless pit	-0.016
all wet	-0.016
save up	-0.016
driving license	-0.016
flirt with	-0.016
roman empire	-0.016
lava lamp	-0.016
paper trail	-0.016
code word	-0.016
road block	-0.016
email address	-0.016
default on	-0.016
get about	-0.016
factor in	-0.016
fat guy	-0.016
next up	-0.016
close relationship	-0.016
fresh water	-0.016
show up	-0.016
cover for	-0.016
powdered sugar	-0.016
naturally occurring	-0.016
sock in	-0.016
well run	-0.016
wise up	-0.016
sticking out	-0.016
offer up	-0.016
rating system	-0.016
outlet mall	-0.016
go along	-0.016
ride down	-0.016
house warming	-0.016
cast off	-0.016
ever more	-0.018
prone to	-0.018
cutting off	-0.018
rocky road	-0.018
time in	-0.018
missing link	-0.018
dried up	-0.018
bathroom stall	-0.018
time line	-0.018
roll down	-0.018
travel insurance	-0.018
baby shower	-0.018
twin sister	-0.018
roll call	-0.018
spend time	-0.018
inside joke	-0.018
bear fruit	-0.018
insurance company	-0.018
food prices	-0.018
sliding scale	-0.018
third wheel	-0.018
come between	-0.018
hard line	-0.018
get to	-0.018
under oath	-0.018
factor into	-0.018
stick together	-0.018
knock off	-0.018
rife with	-0.018
bend over	-0.018
praying mantis	-0.019
slim chance	-0.020
slight anticipation	-0.020
chocolate bar	-0.020
spinal cord	-0.022
social media	-0.022
kill time	-0.022
you welcome	-0.022
utility bill	-0.022
something else	-0.022
endangered species	-0.022
garbage bin	-0.022
goat cheese	-0.022
cold call	-0.024
regardless of	-0.024
looking at	-0.024
catalytic converter	-0.024
work to	-0.024
rush at	-0.026
have over	-0.026
see things	-0.026
job description	-0.028
public sale	-0.028
to rule	-0.028
age bracket	-0.028
first world	-0.028
pied piper	-0.028
lift up	-0.028
oil production	-0.028
parking garage	-0.028
deep fryer	-0.028
made up	-0.028
visible minority	-0.028
soak up	-0.028
block off	-0.028
chopped liver	-0.028
pray tell	-0.028
halloween costume	-0.028
well educated	-0.028
side with	-0.028
put into	-0.028
age range	-0.028
pack on	-0.028
candy store	-0.028
well spoken	-0.028
beats me	-0.028
look away	-0.028
human resources	-0.028
count for	-0.028
social studies	-0.028
fair question	-0.028
think through	-0.028
step aside	-0.028
pick on	-0.028
fur coat	-0.028
mobile home	-0.028
spin off	-0.030
agree with	-0.030
raw data	-0.030
tow truck	-0.030
stand at	-0.030
slave owner	-0.030
now then	-0.030
warm up	-0.030
big daddy	-0.030
get with	-0.030
lip liner	-0.030
bon voyage	-0.030
see beyond	-0.030
to boot	-0.030
work boots	-0.030
zero in	-0.030
order out	-0.030
poverty line	-0.030
period piece	-0.030
walk into	-0.030
draw on	-0.030
throw back	-0.030
look around	-0.030
gender identity	-0.030
say when	-0.030
in step	-0.030
new deal	-0.030
gospel music	-0.030
business casual	-0.030
go south	-0.030
new man	-0.030
false statements	-0.030
thumbs down	-0.030
carte blanche	-0.030
going down	-0.030
cash back	-0.030
second thought	-0.030
at bat	-0.030
to hand	-0.030
check out	-0.030
contrary to	-0.030
science teacher	-0.030
living wage	-0.030
ill effects	-0.030
best practice	-0.030
place order	-0.030
at sea	-0.030
leave behind	-0.030
back onto	-0.030
providing that	-0.030
not simply	-0.030
at large	-0.030
mentally ill	-0.030
golden age	-0.030
feed on	-0.030
phone call	-0.030
dinner time	-0.030
extended family	-0.030
drenched in	-0.030
young children	-0.030
crystal clear	-0.030
take precedence	-0.030
plan ahead	-0.030
thrift shop	-0.030
top man	-0.030
hands full	-0.030
log into	-0.030
snow fall	-0.030
push for	-0.032
law firm	-0.032
straw man	-0.032
man enough	-0.032
big cat	-0.032
take after	-0.032
whole heartedly	-0.032
capable of	-0.032
high noon	-0.032
result in	-0.032
nutritional value	-0.032
stir fry	-0.032
flow in	-0.032
name up	-0.032
private property	-0.032
pine tar	-0.032
egg on	-0.032
bring together	-0.032
associated press	-0.032
chance on	-0.032
make way	-0.032
ride out	-0.032
in camera	-0.032
tank up	-0.032
ouija board	-0.032
shut in	-0.032
gender neutral	-0.032
sound out	-0.032
wrong message	-0.032
tennis shoes	-0.032
rabbit hole	-0.032
morning person	-0.032
pile in	-0.032
going under	-0.032
bubble gum	-0.032
drop by	-0.032
track meet	-0.032
walk around	-0.032
jacked up	-0.032
see coming	-0.032
silver spoon	-0.032
pet store	-0.032
third person	-0.032
wasting away	-0.032
melt into	-0.032
childhood friend	-0.032
all y'all	-0.032
straight off	-0.032
check mark	-0.032
registered nurse	-0.032
more equal	-0.032
sharia law	-0.032
big break	-0.032
go upstairs	-0.032
research paper	-0.032
nail biter	-0.032
even money	-0.032
zero gravity	-0.032
big year	-0.032
church service	-0.032
jack frost	-0.032
give her	-0.032
baseball cap	-0.032
sticking point	-0.032
load up	-0.032
graduate student	-0.032
walk in	-0.032
packed up	-0.032
fat boy	-0.032
trash bag	-0.032
in detail	-0.032
tied up	-0.032
what about	-0.032
invest with	-0.032
international community	-0.032
family owned	-0.032
civil society	-0.032
oil price	-0.032
car insurance	-0.032
built on	-0.032
checkered flag	-0.032
come naturally	-0.032
whole thing	-0.032
dark side	-0.032
mental state	-0.032
enter into	-0.032
past weekend	-0.032
ramen noodles	-0.032
get work	-0.032
dive into	-0.032
for sale	-0.032
cerebral palsy	-0.032
service line	-0.032
change up	-0.032
fabric softener	-0.032
dial in	-0.032
taken aback	-0.032
famous person	-0.032
in evidence	-0.032
tee off	-0.032
carpal tunnel	-0.032
sippy cup	-0.032
land mass	-0.032
long winded	-0.032
rotator cuff	-0.032
big thing	-0.032
penny stock	-0.032
black light	-0.032
big sur	-0.032
went under	-0.032
right field	-0.032
come off	-0.032
step down	-0.032
collard greens	-0.032
bring up	-0.032
even if	-0.032
roll up	-0.032
many thanks	-0.034
come upon	-0.034
christmas tree	-0.034
bottoms up	-0.034
hop off	-0.034
man cave	-0.034
like clockwork	-0.034
nintendo ds	-0.034
bone marrow	-0.034
car keys	-0.034
dental care	-0.034
great idea	-0.034
phone system	-0.034
touch for	-0.034
a stretch	-0.034
lab coat	-0.034
front teeth	-0.034
stationary bike	-0.034
put up	-0.034
electric bill	-0.034
after hours	-0.034
what's new	-0.034
time warp	-0.034
name names	-0.034
board certified	-0.034
tax rate	-0.034
sneak peek	-0.034
andy warhol	-0.034
hide behind	-0.034
slip in	-0.034
self discipline	-0.034
debt limit	-0.034
hardly ever	-0.034
winter solstice	-0.034
brand loyalty	-0.034
manual labor	-0.034
go nowhere	-0.034
bright red	-0.034
beef patty	-0.034
fall into	-0.034
day job	-0.034
give credit	-0.034
live in	-0.034
video footage	-0.034
drive on	-0.034
slip out	-0.034
physical body	-0.034
new girl	-0.034
net worth	-0.034
post partum	-0.034
total stranger	-0.034
the downside	-0.034
main road	-0.034
snake oil	-0.034
straight man	-0.034
dream on	-0.034
air conditioner	-0.034
big box	-0.034
home owner	-0.036
blow in	-0.036
appeal to	-0.036
glazed donut	-0.036
pay into	-0.036
call up	-0.036
saving grace	-0.036
three times	-0.036
and all	-0.036
voice mail	-0.036
creative director	-0.036
losing streak	-0.036
message board	-0.036
web browser	-0.036
break for	-0.036
voting age	-0.036
level headed	-0.036
fake news	-0.036
rich kids	-0.036
lose it	-0.036
role player	-0.036
lose value	-0.036
salt water	-0.036
some anticipation	-0.036
red state	-0.036
damn fool	-0.036
all in	-0.036
common man	-0.038
school spirit	-0.038
warm welcome	-0.038
subscribe to	-0.038
end table	-0.040
fly on	-0.040
slightly positive	-0.040
somewhat negative	-0.040
good show	-0.040
lactose intolerance	-0.040
no anticipation	-0.040
take down	-0.042
elect to	-0.042
makings of	-0.042
talk radio	-0.042
the take	-0.042
common law	-0.042
want for	-0.042
pasta sauce	-0.042
life story	-0.042
beta male	-0.042
public good	-0.042
holy spirit	-0.042
swim suit	-0.042
closing time	-0.042
entry level	-0.042
in jest	-0.042
conform to	-0.042
food safety	-0.042
public defender	-0.042
true self	-0.042
swim trunks	-0.042
at present	-0.042
joke around	-0.042
ground zero	-0.042
keep pace	-0.044
flow from	-0.044
memory card	-0.044
wine bar	-0.044
loved one	-0.044
carbon fiber	-0.044
upper hand	-0.044
pile on	-0.044
natural selection	-0.044
good friend	-0.044
have lunch	-0.044
courtesy of	-0.044
television show	-0.044
all along	-0.044
book signing	-0.044
field day	-0.044
repeat on	-0.044
play off	-0.044
hard rock	-0.044
but then	-0.044
chicken out	-0.044
pay out	-0.044
track down	-0.044
land in	-0.044
look up	-0.044
well behaved	-0.044
open invitation	-0.044
file for	-0.044
side door	-0.044
talk out	-0.044
totem pole	-0.044
have experience	-0.044
oval office	-0.044
drum set	-0.044
sour grapes	-0.044
credit card	-0.045
get lost	-0.046
exit ramp	-0.046
large amounts	-0.046
like minded	-0.046
step on	-0.046
tuned in	-0.046
good hands	-0.046
golf game	-0.046
bell bottoms	-0.046
fictional character	-0.046
camped out	-0.046
for starters	-0.046
call time	-0.046
return to	-0.046
honor system	-0.046
tall guy	-0.046
for anything	-0.046
peel off	-0.046
man down	-0.046
make amends	-0.046
lead to	-0.046
strong case	-0.046
self control	-0.046
personal life	-0.046
bad faith	-0.046
present with	-0.046
dew point	-0.046
do well	-0.046
soaking wet	-0.046
nose up	-0.046
run off	-0.046
echo chamber	-0.046
sneak up	-0.046
good at	-0.046
time lapse	-0.046
up front	-0.046
guest list	-0.046
lock down	-0.046
dog poop	-0.046
report in	-0.046
settle on	-0.046
cry over	-0.046
free agency	-0.046
curtains for	-0.046
looking glass	-0.046
left wing	-0.046
join with	-0.046
burger king	-0.046
to date	-0.046
extra point	-0.046
going on	-0.046
spread out	-0.046
in stride	-0.046
pick at	-0.046
borrowed time	-0.046
value added	-0.046
on bail	-0.046
disposable income	-0.046
last hurrah	-0.046
post office	-0.046
google maps	-0.046
happy medium	-0.046
written down	-0.046
sign in	-0.046
will do	-0.046
no homo	-0.046
look like	-0.046
poor performance	-0.046
cover story	-0.046
be able	-0.046
real life	-0.046
good timing	-0.046
south bend	-0.046
leg up	-0.046
baby boomer	-0.046
front for	-0.046
well read	-0.046
sort out	-0.046
whole body	-0.046
top down	-0.046
pick out	-0.046
rain down	-0.046
come along	-0.046
lean towards	-0.046
clean up	-0.046
outside world	-0.046
bring home	-0.046
family business	-0.046
need to	-0.046
car company	-0.046
be into	-0.046
own goal	-0.046
box in	-0.046
messing up	-0.046
belong together	-0.046
unaccounted for	-0.046
carbon dioxide	-0.046
pouring rain	-0.048
above water	-0.048
in effect	-0.048
set out	-0.048
think out	-0.048
tooth fairy	-0.048
memory lane	-0.048
go by	-0.048
du jour	-0.048
bath salts	-0.048
on tour	-0.048
thin ice	-0.048
math teacher	-0.048
orange soda	-0.048
last laugh	-0.048
size up	-0.048
nice person	-0.048
right now	-0.048
some kind	-0.048
big ben	-0.048
hard drive	-0.048
at most	-0.048
county fair	-0.048
using up	-0.048
hats off	-0.048
die hard	-0.048
fresh legs	-0.048
tax bill	-0.048
of fame	-0.048
sweat pants	-0.048
straight edge	-0.048
come up	-0.048
carbon monoxide	-0.048
contract in	-0.048
heating pad	-0.048
share in	-0.048
raw meat	-0.048
marine life	-0.048
help with	-0.048
safe distance	-0.048
report back	-0.048
no trump	-0.048
red light	-0.048
hot pot	-0.048
good people	-0.048
family law	-0.048
send in	-0.048
half mile	-0.048
get by	-0.048
quit smoking	-0.048
secret code	-0.048
belong to	-0.048
front office	-0.048
world bank	-0.048
price list	-0.048
big fish	-0.048
speak of	-0.050
long face	-0.050
mix to	-0.050
mutual aid	-0.050
hard stop	-0.050
line out	-0.050
look through	-0.050
shell out	-0.050
crap out	-0.050
all that	-0.050
happen to	-0.050
on parole	-0.050
squeaky clean	-0.050
prom dress	-0.050
bike rack	-0.050
caught up	-0.050
best interests	-0.050
american english	-0.050
way out	-0.050
double digits	-0.050
follow me	-0.050
word play	-0.050
own up	-0.050
video clip	-0.050
black ice	-0.050
coney island	-0.050
face mask	-0.050
and finally	-0.050
fine tuning	-0.050
body temperature	-0.050
hung over	-0.050
telephone number	-0.050
thrift store	-0.050
base line	-0.050
do what	-0.050
low blow	-0.050
short sighted	-0.050
rake in	-0.050
occam's razor	-0.050
dead beat	-0.050
filter in	-0.050
service center	-0.050
top spot	-0.050
go see	-0.050
cut back	-0.050
chew on	-0.050
due process	-0.050
no nonsense	-0.050
birthday present	-0.050
key to	-0.050
gather in	-0.050
bright green	-0.050
or something	-0.050
self pity	-0.050
well built	-0.050
deep south	-0.050
butt in	-0.050
daily life	-0.050
color scheme	-0.050
wear out	-0.052
next door	-0.052
muscle in	-0.052
slip through	-0.052
non sequitur	-0.052
legal age	-0.052
garden city	-0.052
earl grey	-0.052
bad thing	-0.052
set aside	-0.052
local radio	-0.052
map on	-0.052
far out	-0.052
every bit	-0.052
far west	-0.052
well done	-0.052
minor league	-0.052
how to	-0.052
silver medal	-0.052
down town	-0.052
latch onto	-0.052
mini skirt	-0.052
love song	-0.052
top hat	-0.052
ever again	-0.052
common thread	-0.054
stick around	-0.054
free throw	-0.054
pot pie	-0.054
subject line	-0.054
carbon footprint	-0.054
big name	-0.054
have do	-0.054
hot cocoa	-0.054
trash can	-0.054
all set	-0.054
board member	-0.054
square with	-0.054
advent calendar	-0.054
laugh track	-0.054
wing it	-0.054
pizza topping	-0.054
unemployment rate	-0.054
turkey leg	-0.054
happy birthday	-0.054
tank top	-0.055
medical center	-0.056
shoulder pads	-0.056
close up	-0.056
final decision	-0.056
light blue	-0.056
small business	-0.056
state university	-0.056
raw material	-0.056
slightly negative	-0.056
bad luck	-0.056
new math	-0.056
right away	-0.056
don quixote	-0.056
wind chill	-0.056
some chick	-0.056
pot on	-0.058
third down	-0.058
mustard seed	-0.058
gas stove	-0.058
liberal arts	-0.058
chip away	-0.058
building code	-0.058
private school	-0.058
straight face	-0.058
state park	-0.058
holy grail	-0.058
screen saver	-0.058
pizza hut	-0.058
choose to	-0.058
face paint	-0.058
stat sheet	-0.058
wrong thing	-0.058
pro am	-0.058
cut it	-0.058
take in	-0.058
good idea	-0.058
the man	-0.058
apropos of	-0.058
outer space	-0.058
american flag	-0.058
insurance claim	-0.058
health professional	-0.058
in style	-0.058
hand over	-0.058
french horn	-0.058
ride on	-0.060
sports writer	-0.060
eat that	-0.060
third man	-0.060
trust to	-0.060
mixed bag	-0.060
whole meal	-0.060
extra time	-0.060
easter sunday	-0.060
personal property	-0.060
sale price	-0.060
long distance	-0.060
without fail	-0.060
cut to	-0.060
be inclined	-0.060
back off	-0.060
young boy	-0.060
morning after	-0.060
photo booth	-0.060
animal lover	-0.060
bad example	-0.060
tea party	-0.060
heat pump	-0.060
sign up	-0.060
keep on	-0.060
go under	-0.060
rid of	-0.060
open question	-0.060
third base	-0.060
baseball game	-0.060
blue light	-0.060
stay together	-0.060
wrong with	-0.060
vacation home	-0.060
above all	-0.060
look out	-0.060
keep from	-0.060
hung up	-0.060
subject to	-0.060
take on	-0.060
upper limit	-0.060
estate agent	-0.060
big rig	-0.060
rainy season	-0.060
you what	-0.062
history lesson	-0.062
stuff away	-0.062
family size	-0.062
taken in	-0.062
cold winter	-0.062
ground floor	-0.062
hot dog	-0.062
rom com	-0.062
pretty penny	-0.062
greek alphabet	-0.062
snow plow	-0.062
second guess	-0.062
come after	-0.062
slide show	-0.062
set for	-0.062
big tent	-0.062
door handle	-0.062
in need	-0.062
beach ball	-0.062
last half	-0.062
toss out	-0.062
have hope	-0.062
hedge fund	-0.062
make off	-0.062
white collar	-0.062
butterfly effect	-0.062
butt out	-0.062
money back	-0.062
pit stop	-0.062
put to	-0.062
opt for	-0.062
checkout line	-0.062
stuff up	-0.062
do homework	-0.062
long on	-0.062
keep up	-0.062
off with	-0.062
equal pay	-0.062
bad form	-0.062
rural area	-0.062
these guys	-0.062
upper class	-0.062
number one	-0.062
on top	-0.062
talk through	-0.064
off base	-0.064
morse code	-0.064
fresh fruit	-0.064
pretty good	-0.064
black plague	-0.064
live one	-0.064
be born	-0.064
push out	-0.064
come with	-0.064
for sure	-0.064
cling to	-0.064
green thumb	-0.064
rain out	-0.064
all but	-0.064
partial to	-0.064
spoon fed	-0.064
half way	-0.064
write up	-0.064
over there	-0.064
expiration date	-0.064
assembly line	-0.064
come round	-0.064
backed up	-0.064
pose as	-0.064
get some	-0.064
school day	-0.064
try me	-0.064
front page	-0.064
do out	-0.064
peanut gallery	-0.064
drag on	-0.064
tree branch	-0.064
all caps	-0.064
mingle with	-0.064
crude oil	-0.064
write back	-0.064
top that	-0.064
long jump	-0.064
station wagon	-0.064
go first	-0.064
school teacher	-0.064
wine glasses	-0.064
cover letter	-0.064
engage with	-0.064
social work	-0.064
game store	-0.064
dead on	-0.064
feel myself	-0.064
go thru	-0.064
deep end	-0.064
computer science	-0.064
little guy	-0.064
back pain	-0.064
walk out	-0.064
live over	-0.064
good morning	-0.064
high school	-0.064
milk out	-0.064
upper lip	-0.064
new school	-0.064
central bank	-0.064
red hair	-0.064
chicken coop	-0.064
loading dock	-0.064
law abiding	-0.064
think back	-0.064
work week	-0.064
agree on	-0.064
edit out	-0.066
visiting hours	-0.066
summer school	-0.066
back order	-0.066
rosetta stone	-0.066
die off	-0.066
look forward	-0.066
phone up	-0.066
tuition fees	-0.066
take classes	-0.066
cut off	-0.066
pay off	-0.066
roller rink	-0.066
step to	-0.066
big board	-0.066
report card	-0.066
sunday school	-0.066
nice job	-0.066
good works	-0.066
act as	-0.066
under control	-0.066
ask to	-0.066
silk road	-0.066
nitty gritty	-0.066
big boy	-0.066
child's play	-0.066
tap out	-0.066
get real	-0.066
give up	-0.066
bank card	-0.066
cop it	-0.066
gummy bear	-0.066
country mile	-0.066
heaps of	-0.066
carry with	-0.066
considering that	-0.066
chin up	-0.066
fair number	-0.066
second string	-0.066
gong show	-0.066
other half	-0.066
stay away	-0.066
young age	-0.066
oh my	-0.066
pander to	-0.066
cash register	-0.066
frozen food	-0.066
push back	-0.066
stick out	-0.066
three hundred	-0.066
by themselves	-0.066
curl up	-0.068
crop top	-0.068
zoom in	-0.068
limited edition	-0.068
hold with	-0.068
call at	-0.068
breakfast time	-0.068
apartment complex	-0.068
pay rate	-0.068
rubber band	-0.068
carry over	-0.068
married man	-0.068
gap year	-0.068
plug for	-0.068
flat tire	-0.068
track with	-0.068
make happy	-0.068
tantamount to	-0.068
filter out	-0.068
have back	-0.068
sit on	-0.068
key on	-0.068
public works	-0.068
roll off	-0.068
computer screen	-0.068
open to	-0.068
depend on	-0.068
get wet	-0.068
send over	-0.068
prep school	-0.068
clear evidence	-0.068
point man	-0.068
oy vey	-0.068
drop it	-0.068
fair shake	-0.068
given to	-0.068
subscribe for	-0.068
snuggle up	-0.068
love story	-0.070
on board	-0.070
internal medicine	-0.070
tip over	-0.070
tell on	-0.070
just wondering	-0.070
corn dog	-0.070
onto something	-0.070
drive back	-0.070
banana republic	-0.070
tote bag	-0.070
cold hearted	-0.070
golf course	-0.070
unbeknownst to	-0.070
move down	-0.070
thought process	-0.070
five star	-0.070
sick joke	-0.072
believe in	-0.072
paper work	-0.072
wary of	-0.072
nursing home	-0.072
half price	-0.072
shopping list	-0.072
top end	-0.072
leg out	-0.072
heard of	-0.072
hot chocolate	-0.072
name change	-0.072
body double	-0.072
united front	-0.072
take root	-0.072
first night	-0.074
bend down	-0.074
only children	-0.074
wave back	-0.074
ad hominem	-0.074
a heel	-0.074
roast beef	-0.074
make with	-0.074
rounding error	-0.074
soak in	-0.074
self righteousness	-0.074
hand around	-0.074
turn into	-0.074
pass to	-0.074
lose weight	-0.074
glass door	-0.074
finish up	-0.074
squeeze in	-0.074
let in	-0.074
butt on	-0.074
make for	-0.074
up for	-0.074
and change	-0.074
mailing list	-0.074
long vacation	-0.074
matter to	-0.074
licence plate	-0.074
fly around	-0.074
wind on	-0.074
monetary system	-0.074
advisory board	-0.074
ill informed	-0.076
sporting goods	-0.076
tall man	-0.076
like magic	-0.076
law society	-0.076
need be	-0.076
opt in	-0.076
word up	-0.076
big toe	-0.076
nose out	-0.076
second class	-0.076
break free	-0.076
face time	-0.076
school friend	-0.076
medical care	-0.076
super glue	-0.076
abide by	-0.076
right foot	-0.076
good word	-0.076
one's self	-0.076
best way	-0.076
sick kids	-0.076
line up	-0.076
fish tank	-0.076
in name	-0.076
meow meow	-0.076
chase down	-0.076
steeped in	-0.076
top up	-0.076
dumb down	-0.076
key in	-0.076
rainbow trout	-0.076
happen in	-0.076
bodily harm	-0.076
fend for	-0.076
talk big	-0.076
set to	-0.076
in vain	-0.076
dark ages	-0.076
blow dry	-0.076
delight in	-0.076
hold over	-0.076
touch you	-0.076
blind date	-0.076
contact information	-0.076
up there	-0.076
afford to	-0.076
real problem	-0.076
well balanced	-0.076
fountain pen	-0.078
pocket money	-0.078
city hall	-0.078
wide range	-0.078
red deer	-0.078
cookie jar	-0.078
grilled chicken	-0.078
pardon me	-0.078
cold shoulder	-0.078
good part	-0.078
far east	-0.078
council member	-0.078
on schedule	-0.078
compare notes	-0.078
drinking water	-0.078
interest in	-0.078
on tape	-0.078
general manager	-0.078
near by	-0.078
clog up	-0.078
get over	-0.078
parking spot	-0.078
error code	-0.078
go in	-0.078
washed out	-0.078
per year	-0.078
say again	-0.078
cold front	-0.078
long day	-0.078
run over	-0.078
rough out	-0.078
pawn shop	-0.078
some day	-0.078
mask out	-0.078
lie to	-0.078
vested interest	-0.078
see about	-0.078
worse off	-0.078
look back	-0.080
absolutely not	-0.080
draw from	-0.080
partly cloudy	-0.080
beer can	-0.080
all over	-0.080
user base	-0.080
stand on	-0.080
throw in	-0.080
short leash	-0.080
provided that	-0.080
any old	-0.080
health official	-0.080
all show	-0.080
mama mia	-0.080
lots more	-0.080
silver fox	-0.080
followed by	-0.080
deep pockets	-0.080
tax payer	-0.080
cop to	-0.080
eat out	-0.080
part way	-0.080
be called	-0.080
tax law	-0.080
iced coffee	-0.080
back out	-0.080
live around	-0.080
on earth	-0.080
grow up	-0.080
junk mail	-0.080
last quarter	-0.080
mobile device	-0.080
window seat	-0.080
long gone	-0.080
cut out	-0.080
no brainer	-0.080
on about	-0.080
booked up	-0.080
ancient times	-0.080
far left	-0.080
money pit	-0.080
look to	-0.080
into detail	-0.080
cheddar cheese	-0.080
laid off	-0.080
graham cracker	-0.080
sorely needed	-0.080
credit rating	-0.080
keep out	-0.080
been around	-0.080
ill advised	-0.080
your self	-0.080
gas up	-0.080
check on	-0.080
then again	-0.080
baked potato	-0.080
pizza place	-0.080
good manners	-0.080
odds on	-0.080
identify with	-0.080
falling off	-0.080
second person	-0.080
pork chop	-0.080
human nature	-0.080
jingle bell	-0.080
light bulb	-0.080
a lot	-0.080
bossa nova	-0.080
sold on	-0.080
end up	-0.082
